"Statistic","CensusYear","Sex","Age Last Birthday","At Each Year of Age","UNIT","VALUE"
"Population 2011 to 2016","2011","Both sexes","16 years","Population at or over this age","Number","3551435"
"Population 2011 to 2016","2011","Both sexes","17 years","Population","Number","55865"
"Population 2011 to 2016","2011","Both sexes","17 years","Population at or under this age","Number","1148687"
"Population 2011 to 2016","2011","Both sexes","17 years","Population at or over this age","Number","3495430"
"Population 2011 to 2016","2011","Both sexes","18 years","Population","Number","56840"
"Population 2011 to 2016","2011","Both sexes","18 years","Population at or under this age","Number","1205527"
"Population 2011 to 2016","2011","Both sexes","18 years","Population at or over this age","Number","3439565"
"Population 2011 to 2016","2011","Both sexes","19 years","Population","Number","57082"
"Population 2011 to 2016","2011","Both sexes","19 years","Population at or under this age","Number","1262609"
"Population 2011 to 2016","2011","Both sexes","19 years","Population at or over this age","Number","3382725"
"Population 2011 to 2016","2011","Both sexes","20 years","Population","Number","59932"
"Population 2011 to 2016","2011","Both sexes","20 years","Population at or under this age","Number","1322541"
"Population 2011 to 2016","2011","Both sexes","20 years","Population at or over this age","Number","3325643"
"Population 2011 to 2016","2011","Both sexes","21 years","Population","Number","57930"
"Population 2011 to 2016","2011","Both sexes","21 years","Population at or under this age","Number","1380471"
"Population 2011 to 2016","2011","Both sexes","21 years","Population at or over this age","Number","3265711"
"Population 2011 to 2016","2011","Both sexes","22 years","Population","Number","57647"
"Population 2011 to 2016","2011","Both sexes","22 years","Population at or under this age","Number","1438118"
"Population 2011 to 2016","2011","Both sexes","22 years","Population at or over this age","Number","3207781"
"Population 2011 to 2016","2011","Both sexes","23 years","Population","Number","59459"
"Population 2011 to 2016","2011","Both sexes","23 years","Population at or under this age","Number","1497577"
"Population 2011 to 2016","2011","Both sexes","23 years","Population at or over this age","Number","3150134"
"Population 2011 to 2016","2011","Both sexes","24 years","Population","Number","62263"
"Population 2011 to 2016","2011","Both sexes","24 years","Population at or under this age","Number","1559840"
"Population 2011 to 2016","2011","Both sexes","24 years","Population at or over this age","Number","3090675"
"Population 2011 to 2016","2011","Both sexes","25 years","Population","Number","65242"
"Population 2011 to 2016","2011","Both sexes","25 years","Population at or under this age","Number","1625082"
"Population 2011 to 2016","2011","Both sexes","25 years","Population at or over this age","Number","3028412"
"Population 2011 to 2016","2011","Both sexes","26 years","Population","Number","68086"
"Population 2011 to 2016","2011","Both sexes","26 years","Population at or under this age","Number","1693168"
"Population 2011 to 2016","2011","Both sexes","26 years","Population at or over this age","Number","2963170"
"Population 2011 to 2016","2011","Both sexes","27 years","Population","Number","71791"
"Population 2011 to 2016","2011","Both sexes","27 years","Population at or under this age","Number","1764959"
"Population 2011 to 2016","2011","Both sexes","27 years","Population at or over this age","Number","2895084"
"Population 2011 to 2016","2011","Both sexes","28 years","Population","Number","76766"
"Population 2011 to 2016","2011","Both sexes","28 years","Population at or under this age","Number","1841725"
"Population 2011 to 2016","2011","Both sexes","28 years","Population at or over this age","Number","2823293"
"Population 2011 to 2016","2011","Both sexes","29 years","Population","Number","79237"
"Population 2011 to 2016","2011","Both sexes","29 years","Population at or under this age","Number","1920962"
"Population 2011 to 2016","2011","Both sexes","29 years","Population at or over this age","Number","2746527"
"Population 2011 to 2016","2011","Both sexes","30 years","Population","Number","82614"
"Population 2011 to 2016","2011","Both sexes","30 years","Population at or under this age","Number","2003576"
"Population 2011 to 2016","2011","Both sexes","30 years","Population at or over this age","Number","2667290"
"Population 2011 to 2016","2011","Both sexes","31 years","Population","Number","81733"
"Population 2011 to 2016","2011","Both sexes","31 years","Population at or under this age","Number","2085309"
"Population 2011 to 2016","2011","Both sexes","31 years","Population at or over this age","Number","2584676"
"Population 2011 to 2016","2011","Both sexes","32 years","Population","Number","78832"
"Population 2011 to 2016","2011","Both sexes","32 years","Population at or under this age","Number","2164141"
"Population 2011 to 2016","2011","Both sexes","32 years","Population at or over this age","Number","2502943"
"Population 2011 to 2016","2011","Both sexes","33 years","Population","Number","75997"
"Population 2011 to 2016","2011","Both sexes","33 years","Population at or under this age","Number","2240138"
"Population 2011 to 2016","2011","Both sexes","33 years","Population at or over this age","Number","2424111"
"Population 2011 to 2016","2011","Both sexes","34 years","Population","Number","74769"
"Population 2011 to 2016","2011","Both sexes","34 years","Population at or under this age","Number","2314907"
"Population 2011 to 2016","2011","Both sexes","34 years","Population at or over this age","Number","2348114"
"Population 2011 to 2016","2011","Both sexes","35 years","Population","Number","74286"
"Population 2011 to 2016","2011","Both sexes","35 years","Population at or under this age","Number","2389193"
"Population 2011 to 2016","2011","Both sexes","35 years","Population at or over this age","Number","2273345"
"Population 2011 to 2016","2011","Both sexes","36 years","Population","Number","73970"
"Population 2011 to 2016","2011","Both sexes","36 years","Population at or under this age","Number","2463163"
"Population 2011 to 2016","2011","Both sexes","36 years","Population at or over this age","Number","2199059"
"Population 2011 to 2016","2011","Both sexes","37 years","Population","Number","72536"
"Population 2011 to 2016","2011","Both sexes","37 years","Population at or under this age","Number","2535699"
"Population 2011 to 2016","2011","Both sexes","37 years","Population at or over this age","Number","2125089"
"Population 2011 to 2016","2011","Both sexes","38 years","Population","Number","72619"
"Population 2011 to 2016","2011","Both sexes","38 years","Population at or under this age","Number","2608318"
"Population 2011 to 2016","2011","Both sexes","38 years","Population at or over this age","Number","2052553"
"Population 2011 to 2016","2011","Both sexes","39 years","Population","Number","70850"
"Population 2011 to 2016","2011","Both sexes","39 years","Population at or under this age","Number","2679168"
"Population 2011 to 2016","2011","Both sexes","39 years","Population at or over this age","Number","1979934"
"Population 2011 to 2016","2011","Both sexes","40 years","Population","Number","70347"
"Population 2011 to 2016","2011","Both sexes","40 years","Population at or under this age","Number","2749515"
"Population 2011 to 2016","2011","Both sexes","40 years","Population at or over this age","Number","1909084"
"Population 2011 to 2016","2011","Both sexes","41 years","Population","Number","68490"
"Population 2011 to 2016","2011","Both sexes","41 years","Population at or under this age","Number","2818005"
"Population 2011 to 2016","2011","Both sexes","41 years","Population at or over this age","Number","1838737"
"Population 2011 to 2016","2011","Both sexes","42 years","Population","Number","64732"
"Population 2011 to 2016","2011","Both sexes","42 years","Population at or under this age","Number","2882737"
"Population 2011 to 2016","2011","Both sexes","42 years","Population at or over this age","Number","1770247"
"Population 2011 to 2016","2011","Both sexes","43 years","Population","Number","64164"
"Population 2011 to 2016","2011","Both sexes","43 years","Population at or under this age","Number","2946901"
"Population 2011 to 2016","2011","Both sexes","43 years","Population at or over this age","Number","1705515"
"Population 2011 to 2016","2011","Both sexes","44 years","Population","Number","63079"
"Population 2011 to 2016","2011","Both sexes","44 years","Population at or under this age","Number","3009980"
"Population 2011 to 2016","2011","Both sexes","44 years","Population at or over this age","Number","1641351"
"Population 2011 to 2016","2011","Both sexes","45 years","Population","Number","62698"
"Population 2011 to 2016","2011","Both sexes","45 years","Population at or under this age","Number","3072678"
"Population 2011 to 2016","2011","Both sexes","45 years","Population at or over this age","Number","1578272"
"Population 2011 to 2016","2011","Both sexes","46 years","Population","Number","63180"
"Population 2011 to 2016","2011","Both sexes","46 years","Population at or under this age","Number","3135858"
"Population 2011 to 2016","2011","Both sexes","46 years","Population at or over this age","Number","1515574"
"Population 2011 to 2016","2011","Both sexes","47 years","Population","Number","61369"
"Population 2011 to 2016","2011","Both sexes","47 years","Population at or under this age","Number","3197227"
"Population 2011 to 2016","2011","Both sexes","47 years","Population at or over this age","Number","1452394"
"Population 2011 to 2016","2011","Both sexes","48 years","Population","Number","59782"
"Population 2011 to 2016","2011","Both sexes","48 years","Population at or under this age","Number","3257009"
"Population 2011 to 2016","2011","Both sexes","48 years","Population at or over this age","Number","1391025"
"Population 2011 to 2016","2011","Both sexes","49 years","Population","Number","58156"
"Population 2011 to 2016","2011","Both sexes","49 years","Population at or under this age","Number","3315165"
"Population 2011 to 2016","2011","Both sexes","49 years","Population at or over this age","Number","1331243"
"Population 2011 to 2016","2011","Both sexes","50 years","Population","Number","58441"
"Population 2011 to 2016","2011","Both sexes","50 years","Population at or under this age","Number","3373606"
"Population 2011 to 2016","2011","Both sexes","50 years","Population at or over this age","Number","1273087"
"Population 2011 to 2016","2011","Both sexes","51 years","Population","Number","56126"
"Population 2011 to 2016","2011","Both sexes","51 years","Population at or under this age","Number","3429732"
"Population 2011 to 2016","2011","Both sexes","51 years","Population at or over this age","Number","1214646"
"Population 2011 to 2016","2011","Both sexes","52 years","Population","Number","54054"
"Population 2011 to 2016","2011","Both sexes","52 years","Population at or under this age","Number","3483786"
"Population 2011 to 2016","2011","Both sexes","52 years","Population at or over this age","Number","1158520"
"Population 2011 to 2016","2011","Both sexes","53 years","Population","Number","53446"
"Population 2011 to 2016","2011","Both sexes","53 years","Population at or under this age","Number","3537232"
"Population 2011 to 2016","2011","Both sexes","53 years","Population at or over this age","Number","1104466"
"Population 2011 to 2016","2011","Both sexes","54 years","Population","Number","52319"
"Population 2011 to 2016","2011","Both sexes","54 years","Population at or under this age","Number","3589551"
"Population 2011 to 2016","2011","Both sexes","54 years","Population at or over this age","Number","1051020"
"Population 2011 to 2016","2011","Both sexes","55 years","Population","Number","50731"
"Population 2011 to 2016","2011","Both sexes","55 years","Population at or under this age","Number","3640282"
"Population 2011 to 2016","2011","Both sexes","55 years","Population at or over this age","Number","998701"
"Population 2011 to 2016","2011","Both sexes","56 years","Population","Number","50475"
"Population 2011 to 2016","2011","Both sexes","56 years","Population at or under this age","Number","3690757"
"Population 2011 to 2016","2011","Both sexes","56 years","Population at or over this age","Number","947970"
"Population 2011 to 2016","2011","Both sexes","57 years","Population","Number","48474"
"Population 2011 to 2016","2011","Both sexes","57 years","Population at or under this age","Number","3739231"
"Population 2011 to 2016","2011","Both sexes","57 years","Population at or over this age","Number","897495"
"Population 2011 to 2016","2011","Both sexes","58 years","Population","Number","48640"
"Population 2011 to 2016","2011","Both sexes","58 years","Population at or under this age","Number","3787871"
"Population 2011 to 2016","2011","Both sexes","58 years","Population at or over this age","Number","849021"
"Population 2011 to 2016","2011","Both sexes","59 years","Population","Number","46202"
"Population 2011 to 2016","2011","Both sexes","59 years","Population at or under this age","Number","3834073"
"Population 2011 to 2016","2011","Both sexes","59 years","Population at or over this age","Number","800381"
"Population 2011 to 2016","2011","Both sexes","60 years","Population","Number","45365"
"Population 2011 to 2016","2011","Both sexes","60 years","Population at or under this age","Number","3879438"
"Population 2011 to 2016","2011","Both sexes","60 years","Population at or over this age","Number","754179"
"Population 2011 to 2016","2011","Both sexes","61 years","Population","Number","44765"
"Population 2011 to 2016","2011","Both sexes","61 years","Population at or under this age","Number","3924203"
"Population 2011 to 2016","2011","Both sexes","61 years","Population at or over this age","Number","708814"
"Population 2011 to 2016","2011","Both sexes","62 years","Population","Number","44100"
"Population 2011 to 2016","2011","Both sexes","62 years","Population at or under this age","Number","3968303"
"Population 2011 to 2016","2011","Both sexes","62 years","Population at or over this age","Number","664049"
"Population 2011 to 2016","2011","Both sexes","63 years","Population","Number","43124"
"Population 2011 to 2016","2011","Both sexes","63 years","Population at or under this age","Number","4011427"
"Population 2011 to 2016","2011","Both sexes","63 years","Population at or over this age","Number","619949"
"Population 2011 to 2016","2011","Both sexes","64 years","Population","Number","41432"
"Population 2011 to 2016","2011","Both sexes","64 years","Population at or under this age","Number","4052859"
"Population 2011 to 2016","2011","Both sexes","64 years","Population at or over this age","Number","576825"
"Population 2011 to 2016","2011","Both sexes","65 years","Population","Number","39834"
"Population 2011 to 2016","2011","Both sexes","65 years","Population at or under this age","Number","4092693"
"Population 2011 to 2016","2011","Both sexes","65 years","Population at or over this age","Number","535393"
"Population 2011 to 2016","2011","Both sexes","66 years","Population","Number","36582"
"Population 2011 to 2016","2011","Both sexes","66 years","Population at or under this age","Number","4129275"
"Population 2011 to 2016","2011","Both sexes","66 years","Population at or over this age","Number","495559"
"Population 2011 to 2016","2011","Both sexes","67 years","Population","Number","34761"
"Population 2011 to 2016","2011","Both sexes","67 years","Population at or under this age","Number","4164036"
"Population 2011 to 2016","2011","Both sexes","67 years","Population at or over this age","Number","458977"
"Population 2011 to 2016","2011","Both sexes","68 years","Population","Number","32783"
"Population 2011 to 2016","2011","Both sexes","68 years","Population at or under this age","Number","4196819"
"Population 2011 to 2016","2011","Both sexes","68 years","Population at or over this age","Number","424216"
"Population 2011 to 2016","2011","Both sexes","69 years","Population","Number","29678"
"Population 2011 to 2016","2011","Both sexes","69 years","Population at or under this age","Number","4226497"
"Population 2011 to 2016","2011","Both sexes","69 years","Population at or over this age","Number","391433"
"Population 2011 to 2016","2011","Both sexes","70 years","Population","Number","28165"
"Population 2011 to 2016","2011","Both sexes","70 years","Population at or under this age","Number","4254662"
"Population 2011 to 2016","2011","Both sexes","70 years","Population at or over this age","Number","361755"
"Population 2011 to 2016","2011","Both sexes","71 years","Population","Number","27822"
"Population 2011 to 2016","2011","Both sexes","71 years","Population at or under this age","Number","4282484"
"Population 2011 to 2016","2011","Both sexes","71 years","Population at or over this age","Number","333590"
"Population 2011 to 2016","2011","Both sexes","72 years","Population","Number","26505"
"Population 2011 to 2016","2011","Both sexes","72 years","Population at or under this age","Number","4308989"
"Population 2011 to 2016","2011","Both sexes","72 years","Population at or over this age","Number","305768"
"Population 2011 to 2016","2011","Both sexes","73 years","Population","Number","24637"
"Population 2011 to 2016","2011","Both sexes","73 years","Population at or under this age","Number","4333626"
"Population 2011 to 2016","2011","Both sexes","73 years","Population at or over this age","Number","279263"
"Population 2011 to 2016","2011","Both sexes","74 years","Population","Number","24061"
"Population 2011 to 2016","2011","Both sexes","74 years","Population at or under this age","Number","4357687"
"Population 2011 to 2016","2011","Both sexes","74 years","Population at or over this age","Number","254626"
"Population 2011 to 2016","2011","Both sexes","75 years","Population","Number","23096"
"Population 2011 to 2016","2011","Both sexes","75 years","Population at or under this age","Number","4380783"
"Population 2011 to 2016","2011","Both sexes","75 years","Population at or over this age","Number","230565"
"Population 2011 to 2016","2011","Both sexes","76 years","Population","Number","21734"
"Population 2011 to 2016","2011","Both sexes","76 years","Population at or under this age","Number","4402517"
"Population 2011 to 2016","2011","Both sexes","76 years","Population at or over this age","Number","207469"
"Population 2011 to 2016","2011","Both sexes","77 years","Population","Number","20643"
"Population 2011 to 2016","2011","Both sexes","77 years","Population at or under this age","Number","4423160"
"Population 2011 to 2016","2011","Both sexes","77 years","Population at or over this age","Number","185735"
"Population 2011 to 2016","2011","Both sexes","78 years","Population","Number","18862"
"Population 2011 to 2016","2011","Both sexes","78 years","Population at or under this age","Number","4442022"
"Population 2011 to 2016","2011","Both sexes","78 years","Population at or over this age","Number","165092"
"Population 2011 to 2016","2011","Both sexes","79 years","Population","Number","17701"
"Population 2011 to 2016","2011","Both sexes","79 years","Population at or under this age","Number","4459723"
"Population 2011 to 2016","2011","Both sexes","79 years","Population at or over this age","Number","146230"
"Population 2011 to 2016","2011","Both sexes","80 years","Population","Number","16954"
"Population 2011 to 2016","2011","Both sexes","80 years","Population at or under this age","Number","4476677"
"Population 2011 to 2016","2011","Both sexes","80 years","Population at or over this age","Number","128529"
"Population 2011 to 2016","2011","Both sexes","81 years","Population","Number","15331"
"Population 2011 to 2016","2011","Both sexes","81 years","Population at or under this age","Number","4492008"
"Population 2011 to 2016","2011","Both sexes","81 years","Population at or over this age","Number","111575"
"Population 2011 to 2016","2011","Both sexes","82 years","Population","Number","13893"
"Population 2011 to 2016","2011","Both sexes","82 years","Population at or under this age","Number","4505901"
"Population 2011 to 2016","2011","Both sexes","82 years","Population at or over this age","Number","96244"
"Population 2011 to 2016","2011","Both sexes","83 years","Population","Number","12378"
"Population 2011 to 2016","2011","Both sexes","83 years","Population at or under this age","Number","4518279"
"Population 2011 to 2016","2011","Both sexes","83 years","Population at or over this age","Number","82351"
"Population 2011 to 2016","2011","Both sexes","84 years","Population","Number","11557"
"Population 2011 to 2016","2011","Both sexes","84 years","Population at or under this age","Number","4529836"
"Population 2011 to 2016","2011","Both sexes","84 years","Population at or over this age","Number","69973"
"Population 2011 to 2016","2011","Both sexes","85 years","Population","Number","10247"
"Population 2011 to 2016","2011","Both sexes","85 years","Population at or under this age","Number","4540083"
"Population 2011 to 2016","2011","Both sexes","85 years","Population at or over this age","Number","58416"
"Population 2011 to 2016","2011","Both sexes","86 years","Population","Number","9249"
"Population 2011 to 2016","2011","Both sexes","86 years","Population at or under this age","Number","4549332"
"Population 2011 to 2016","2011","Both sexes","86 years","Population at or over this age","Number","48169"
"Population 2011 to 2016","2011","Both sexes","87 years","Population","Number","7975"
"Population 2011 to 2016","2011","Both sexes","87 years","Population at or under this age","Number","4557307"
"Population 2011 to 2016","2011","Both sexes","87 years","Population at or over this age","Number","38920"
"Population 2011 to 2016","2011","Both sexes","88 years","Population","Number","6854"
"Population 2011 to 2016","2011","Both sexes","88 years","Population at or under this age","Number","4564161"
"Population 2011 to 2016","2011","Both sexes","88 years","Population at or over this age","Number","30945"
"Population 2011 to 2016","2011","Both sexes","89 years","Population","Number","5562"
"Population 2011 to 2016","2011","Both sexes","89 years","Population at or under this age","Number","4569723"
"Population 2011 to 2016","2011","Both sexes","89 years","Population at or over this age","Number","24091"
"Population 2011 to 2016","2011","Both sexes","90 years","Population","Number","4718"
"Population 2011 to 2016","2011","Both sexes","90 years","Population at or under this age","Number","4574441"
"Population 2011 to 2016","2011","Both sexes","90 years","Population at or over this age","Number","18529"
"Population 2011 to 2016","2011","Both sexes","91 years","Population","Number","3859"
"Population 2011 to 2016","2011","Both sexes","91 years","Population at or under this age","Number","4578300"
"Population 2011 to 2016","2011","Both sexes","91 years","Population at or over this age","Number","13811"
"Population 2011 to 2016","2011","Both sexes","92 years","Population","Number","2763"
"Population 2011 to 2016","2011","Both sexes","92 years","Population at or under this age","Number","4581063"
"Population 2011 to 2016","2011","Both sexes","92 years","Population at or over this age","Number","9952"
"Population 2011 to 2016","2011","Both sexes","93 years","Population","Number","1927"
"Population 2011 to 2016","2011","Both sexes","93 years","Population at or under this age","Number","4582990"
"Population 2011 to 2016","2011","Both sexes","93 years","Population at or over this age","Number","7189"
"Population 2011 to 2016","2011","Both sexes","94 years","Population","Number","1610"
"Population 2011 to 2016","2011","Both sexes","94 years","Population at or under this age","Number","4584600"
"Population 2011 to 2016","2011","Both sexes","94 years","Population at or over this age","Number","5262"
"Population 2011 to 2016","2011","Both sexes","95 years","Population","Number","1166"
"Population 2011 to 2016","2011","Both sexes","95 years","Population at or under this age","Number","4585766"
"Population 2011 to 2016","2011","Both sexes","95 years","Population at or over this age","Number","3652"
"Population 2011 to 2016","2011","Both sexes","96 years","Population","Number","810"
"Population 2011 to 2016","2011","Both sexes","96 years","Population at or under this age","Number","4586576"
"Population 2011 to 2016","2011","Both sexes","96 years","Population at or over this age","Number","2486"
"Population 2011 to 2016","2011","Both sexes","97 years","Population","Number","638"
"Population 2011 to 2016","2011","Both sexes","97 years","Population at or under this age","Number","4587214"
"Population 2011 to 2016","2011","Both sexes","97 years","Population at or over this age","Number","1676"
"Population 2011 to 2016","2011","Both sexes","98 years","Population","Number","381"
"Population 2011 to 2016","2011","Both sexes","98 years","Population at or under this age","Number","4587595"
"Population 2011 to 2016","2011","Both sexes","98 years","Population at or over this age","Number","1038"
"Population 2011 to 2016","2011","Both sexes","99 years","Population","Number","268"
"Population 2011 to 2016","2011","Both sexes","99 years","Population at or under this age","Number","4587863"
"Population 2011 to 2016","2011","Both sexes","99 years","Population at or over this age","Number","657"
"Population 2011 to 2016","2011","Both sexes","100 years and over","Population","Number","389"
"Population 2011 to 2016","2011","Both sexes","100 years and over","Population at or under this age","Number","4588252"
"Population 2011 to 2016","2011","Both sexes","100 years and over","Population at or over this age","Number","389"
"Population 2011 to 2016","2011","Male","All ages","Population","Number","2272699"
"Population 2011 to 2016","2011","Male","All ages","Population at or under this age","Number","2272699"
"Population 2011 to 2016","2011","Male","All ages","Population at or over this age","Number","2272699"
"Population 2011 to 2016","2011","Male","Under 1 year","Population","Number","36850"
"Population 2011 to 2016","2011","Male","Under 1 year","Population at or under this age","Number","36850"
"Population 2011 to 2016","2011","Male","Under 1 year","Population at or over this age","Number","2272699"
"Population 2011 to 2016","2011","Male","1 year","Population","Number","37230"
"Population 2011 to 2016","2011","Male","1 year","Population at or under this age","Number","74080"
"Population 2011 to 2016","2011","Male","1 year","Population at or over this age","Number","2235849"
"Population 2011 to 2016","2011","Male","2 years","Population","Number","37153"
"Population 2011 to 2016","2011","Male","2 years","Population at or under this age","Number","111233"
"Population 2011 to 2016","2011","Male","2 years","Population at or over this age","Number","2198619"
"Population 2011 to 2016","2011","Male","3 years","Population","Number","36382"
"Population 2011 to 2016","2011","Male","3 years","Population at or under this age","Number","147615"
"Population 2011 to 2016","2011","Male","3 years","Population at or over this age","Number","2161466"
"Population 2011 to 2016","2011","Male","4 years","Population","Number","34461"
"Population 2011 to 2016","2011","Male","4 years","Population at or under this age","Number","182076"
"Population 2011 to 2016","2011","Male","4 years","Population at or over this age","Number","2125084"
"Population 2011 to 2016","2011","Male","5 years","Population","Number","33199"
"Population 2011 to 2016","2011","Male","5 years","Population at or under this age","Number","215275"
"Population 2011 to 2016","2011","Male","5 years","Population at or over this age","Number","2090623"
"Population 2011 to 2016","2011","Male","6 years","Population","Number","33534"
"Population 2011 to 2016","2011","Male","6 years","Population at or under this age","Number","248809"
"Population 2011 to 2016","2011","Male","6 years","Population at or over this age","Number","2057424"
"Population 2011 to 2016","2011","Male","7 years","Population","Number","32829"
"Population 2011 to 2016","2011","Male","7 years","Population at or under this age","Number","281638"
"Population 2011 to 2016","2011","Male","7 years","Population at or over this age","Number","2023890"
"Population 2011 to 2016","2011","Male","8 years","Population","Number","32578"
"Population 2011 to 2016","2011","Male","8 years","Population at or under this age","Number","314216"
"Population 2011 to 2016","2011","Male","8 years","Population at or over this age","Number","1991061"
"Population 2011 to 2016","2011","Male","9 years","Population","Number","31897"
"Population 2011 to 2016","2011","Male","9 years","Population at or under this age","Number","346113"
"Population 2011 to 2016","2011","Male","9 years","Population at or over this age","Number","1958483"
"Population 2011 to 2016","2011","Male","10 years","Population","Number","31514"
"Population 2011 to 2016","2011","Male","10 years","Population at or under this age","Number","377627"
"Population 2011 to 2016","2011","Male","10 years","Population at or over this age","Number","1926586"
"Population 2011 to 2016","2011","Male","11 years","Population","Number","31114"
"Population 2011 to 2016","2011","Male","11 years","Population at or under this age","Number","408741"
"Population 2011 to 2016","2011","Male","11 years","Population at or over this age","Number","1895072"
"Population 2011 to 2016","2011","Male","12 years","Population","Number","31430"
"Population 2011 to 2016","2011","Male","12 years","Population at or under this age","Number","440171"
"Population 2011 to 2016","2011","Male","12 years","Population at or over this age","Number","1863958"
"Population 2011 to 2016","2011","Male","13 years","Population","Number","30717"
"Population 2011 to 2016","2011","Male","13 years","Population at or under this age","Number","470888"
"Population 2011 to 2016","2011","Male","13 years","Population at or over this age","Number","1832528"
"Population 2011 to 2016","2011","Male","14 years","Population","Number","30301"
"Population 2011 to 2016","2011","Male","14 years","Population at or under this age","Number","501189"
"Population 2011 to 2016","2011","Male","14 years","Population at or over this age","Number","1801811"
"Population 2011 to 2016","2011","Male","15 years","Population","Number","29416"
"Population 2011 to 2016","2011","Male","15 years","Population at or under this age","Number","530605"
"Population 2011 to 2016","2011","Male","15 years","Population at or over this age","Number","1771510"
"Population 2011 to 2016","2011","Male","16 years","Population","Number","28577"
"Population 2011 to 2016","2011","Male","16 years","Population at or under this age","Number","559182"
"Population 2011 to 2016","2011","Male","16 years","Population at or over this age","Number","1742094"
"Population 2011 to 2016","2011","Male","17 years","Population","Number","28600"
"Population 2011 to 2016","2011","Male","17 years","Population at or under this age","Number","587782"
